Score,Meaning
1,Weak fit or no visible reason to care now
2,Possible fit but unclear sponsor outcome
3,Decent fit with a usable angle
4,Strong fit with clear audience and activation match
5,Obvious fit with urgent business reason and strong activation potential

Field,Question
Audience Fit,Does this event reach the people they want?
Timing Fit,Are they launching something or entering this market now?
Budget Likelihood,Do they sponsor events or spend on creator/community/growth?
Activation Potential,Can we create something better than logo placement?
Content Value,Would the activation create useful photo/video proof?
Warm Path,Can we reach a real decision maker through a human path?
Strategic Urgency,Would missing this event cost them an opportunity?

